,num,lon,lat,latlon,notes,location,spininital,spinfinish,runs,x,y,umw
125,125,-96.75,44.25,lat44.25lon-96.75,1.5-degree,geo,12-Jul-16,19-Jul-16,27-Jul-16,-0.0716606229,0.9433889574,n
126,126,-95.25,44.25,lat44.25lon-95.25,1.5-degree,geo,12-Jul-16,18-Jul-16,26-Jul-16,0.0464585835,0.9244918361,y
127,127,-93.75,44.25,lat44.25lon-93.75,1.5-degree,geo,10-Jul-16,15-Jul-16,26-Jul-16,0.1649098498,0.9078021494,y
128,128,-90.75,44.25,lat44.25lon-90.75,1.5-degree,geo,15-Jul-16,29-Jul-16,7-Aug-16,0.4026434635,0.8810675568,y
129,129,-89.25,44.25,lat44.25lon-89.25,1.5-degree,geo,19-Jul-16,29-Jul-16,5-Aug-16,0.5218430228,0.8710319609,y
130,130,-87.75,44.25,lat44.25lon-87.75,1.5-degree,geo,ERROR,,,0.6412090948,0.8632224163,y
131,131,-86.25,44.25,lat44.25lon-86.25,1.5-degree,geo,23-Jul-16,29-Jul-16,5-Aug-16,0.7607001116,0.8576416426,y
132,132,-80.25,44.25,lat44.25lon-80.25,1.5-degree,geo,24-Jul-16,28-Jul-16,4-Aug-16,1.2390810511,0.8576334712,n
133,133,-75.75,44.25,lat44.25lon-75.75,1.5-degree,geo,24-Jul-16,28-Jul-16,2-Aug-16,1.5971384993,0.8810471531,n
134,134,-74.25,44.25,lat44.25lon-74.25,1.5-degree,geo,25-Jul-16,27-Jul-16,4-Aug-16,1.7161304548,0.8933012404,n
135,135,-72.75,44.25,lat44.25lon-72.75,1.5-degree,geo,25-Jul-16,27-Jul-16,4-Aug-16,1.8348730261,0.9077736241,n
136,136,-71.25,44.25,lat44.25lon-71.25,1.5-degree,geo,25-Jul-16,27-Jul-16,4-Aug-16,1.9533248625,0.9244592642,n
137,137,-65.25,44.25,lat44.25lon-65.25,1.5-degree,geo,25-Jul-16,27-Jul-16,4-Aug-16,2.4234016892,1.0132066606,n
138,138,-98.25,45.75,lat45.75lon-98.25,1.5-degree,geo,24-Jul-16,29-Jul-16,11-Aug-16,-0.1584230486,1.1285699142,n
139,139,-96.75,45.75,lat45.75lon-96.75,1.5-degree,geo,24-Jul-16,29-Jul-16,9-Aug-16,-0.0437442741,1.1080215333,y
140,140,-95.25,45.75,lat45.75lon-95.25,1.5-degree,geo,24-Jul-16,29-Jul-16,10-Aug-16,0.0712979722,1.0896166748,y
141,141,-93.75,45.75,lat45.75lon-93.75,1.5-degree,geo,24-Jul-16,29-Jul-16,10-Aug-16,0.1866636284,1.0733617481,y
142,142,-90.75,45.75,lat45.75lon-90.75,1.5-degree,geo,24-Jul-16,29-Jul-16,12-Aug-16,0.4182043725,1.0473235813,n
143,143,-89.25,45.75,lat45.75lon-89.25,1.5-degree,geo,7-Aug-16,16-Aug-16,24-Aug-16,0.5342988289,1.0375494089,y
144,144,-87.75,45.75,lat45.75lon-87.75,1.5-degree,geo,6-Aug-16,14-Aug-16,24-Aug-16,0.6505554604,1.0299432999,y
145,145,-78.75,45.75,lat45.75lon-78.75,1.5-degree,geo,7-Aug-16,14-Aug-16,24-Aug-16,1.3492315885,1.0299313655,n
146,146,-75.75,45.75,lat45.75lon-75.75,1.5-degree,geo,7-Aug-16,15-Aug-16,24-Aug-16,1.5815832701,1.0473037092,n
147,147,-74.25,45.75,lat45.75lon-74.25,1.5-degree,geo,7-Aug-16,11-Aug-16,24-Aug-16,1.6974755307,1.0592385822,n
148,148,-72.75,45.75,lat45.75lon-72.75,1.5-degree,geo,7-Aug-16,11-Aug-16,21-Aug-16,1.8131249035,1.0733339658,n
149,149,-71.25,45.75,lat45.75lon-71.25,1.5-degree,geo,8-Aug-16,20-Aug-16,26-Aug-16,1.9284911149,1.0895849513,n
150,150,-68.25,45.75,lat45.75lon-68.25,1.5-degree,geo,8-Aug-16,13-Aug-16,20-Aug-16,2.1582134664,1.1285303428,n
151,151,-66.75,45.75,lat45.75lon-66.75,1.5-degree,geo,8-Aug-16,12-Aug-16,19-Aug-16,2.2724896083,1.1512111864,n
152,152,-63.75,45.75,lat45.75lon-63.75,1.5-degree,geo,8-Aug-16,11-Aug-16,19-Aug-16,2.4996728614,1.2029496804,n
153,153,-62.25,45.75,lat45.75lon-62.25,1.5-degree,geo,ERROR,,,2.6125008588,1.2319893135,n
154,154,-98.25,47.25,lat47.25lon-98.25,1.5-degree,geo,8-Aug-16,13-Aug-16,24-Aug-16,-0.1274324934,1.2926897965,n
155,155,-96.75,47.25,lat47.25lon-96.75,1.5-degree,geo,23-Aug-16,27-Aug-16,15-Sep-16,-0.0158216473,1.2726911333,y
156,156,-93.75,47.25,lat47.25lon-93.75,1.5-degree,geo,23-Aug-16,28-Aug-16,12-Sep-16,0.2084222992,1.2389585793,y
157,157,-83.25,47.25,lat47.25lon-83.25,1.5-degree,geo,23-Aug-16,27-Aug-16,11-Sep-16,0.9998962103,1.1871762705,n
158,158,-81.75,47.25,lat47.25lon-81.75,1.5-degree,geo,23-Aug-16,27-Aug-16,11-Sep-16,1.1132796848,1.1882323126,n
159,159,-80.25,47.25,lat47.25lon-80.25,1.5-degree,geo,24-Aug-16,27-Aug-16,13-Sep-16,1.2266237108,1.1914039447,n
160,160,-78.75,47.25,lat47.25lon-78.75,1.5-degree,geo,25-Aug-16,13-Sep-16,23-Sep-16,1.3398888178,1.1966900622,n
161,161,-75.75,47.25,lat47.25lon-75.75,1.5-degree,geo,25-Aug-16,12-Sep-16,17-Sep-16,1.5660245427,1.2135976545,n
162,162,-74.25,47.25,lat47.25lon-74.25,1.5-degree,geo,25-Aug-16,30-Aug-16,10-Sep-16,1.6788164114,1.2252132415,n
163,163,-72.75,47.25,lat47.25lon-72.75,1.5-degree,geo,26-Aug-16,30-Aug-16,6-Sep-16,1.79137189,1.2389315403,n
164,164,-71.25,47.25,lat47.25lon-71.25,1.5-degree,geo,26-Aug-16,30-Aug-16,6-Sep-16,1.9036517826,1.2547477735,n
165,165,-68.25,47.25,lat47.25lon-68.25,1.5-degree,geo,26-Aug-16,28-Aug-16,4-Sep-16,2.127228518,1.2926512837,n
166,166,-66.75,47.25,lat47.25lon-66.75,1.5-degree,geo,26-Aug-16,30-Aug-16,5-Sep-16,2.2384475029,1.3147253611,n
167,167,-65.25,47.25,lat47.25lon-65.25,1.5-degree,geo,ERROR,,,2.3492352128,1.3388709787,n
168,168,-98.25,48.75,lat48.75lon-98.25,1.5-degree,geo,14-Sep-16,27-Sep-16,14-Oct-16,-0.09645717,1.456729014,n
169,169,-96.75,48.75,lat48.75lon-96.75,1.5-degree,geo,14-Sep-16,26-Sep-16,14-Oct-16,0.0120872557,1.4372797984,y
170,170,-95.25,48.75,lat48.75lon-95.25,1.5-degree,geo,ERROR,,,0.1209757106,1.4198594449,y
171,171,-93.75,48.75,lat48.75lon-93.75,1.5-degree,geo,14-Sep-16,26-Sep-16,11-Oct-16,0.2301702756,1.4044740198,y
172,172,-90.75,48.75,lat48.75lon-90.75,1.5-degree,geo,14-Sep-16,16-Sep-16,11-Oct-16,0.4493255395,1.3798286757,n
173,173,-89.25,48.75,lat48.75lon-89.25,1.5-degree,geo,14-Sep-16,16-Sep-16,9-Oct-16,0.5592099201,1.3705773392,n
174,174,-83.25,48.75,lat48.75lon-83.25,1.5-degree,geo,14-Sep-16,18-Sep-16,14-Oct-16,0.9998990619,1.3541143893,n
175,175,-81.75,48.75,lat48.75lon-81.75,1.5-degree,geo,14-Sep-16,16-Sep-16,9-Oct-16,1.1101674143,1.3551414175,n
176,176,-80.25,48.75,lat48.75lon-80.25,1.5-degree,geo,14-Sep-16,24-Sep-16,9-Oct-16,1.2203974022,1.3582259115,n
177,177,-78.75,48.75,lat48.75lon-78.75,1.5-degree,geo,15-Sep-16,24-Sep-16,8-Oct-16,1.3305506392,1.363366797,n
178,178,-75.75,48.75,lat48.75lon-75.75,1.5-degree,geo,15-Sep-16,23-Sep-16,3-Oct-16,1.5504734624,1.3798098666,n
179,179,-74.25,48.75,lat48.75lon-74.25,1.5-degree,geo,15-Sep-16,22-Sep-16,2-Oct-16,1.6601664629,1.3911063244,n
180,180,-72.75,48.75,lat48.75lon-72.75,1.5-degree,geo,15-Sep-16,22-Sep-16,5-Oct-16,1.7696295681,1.4044477236,n
181,181,-71.25,48.75,lat48.75lon-71.25,1.5-degree,geo,16-Sep-16,20-Sep-16,1-Oct-16,1.8788246587,1.4198294183,n
182,182,-66.75,48.75,lat48.75lon-66.75,1.5-degree,geo,ERROR,,,2.2044221293,1.4781591687,n
183,183,-65.25,48.75,lat48.75lon-65.25,1.5-degree,geo,ERROR,,,2.3121660337,1.5016414044,n
184,184,-98.25,35.25,lat35.25lon-98.25,1.5-degree,geo,11-Oct-16,17-Oct-16,25-Oct-16,-0.3741170704,-0.0137031826,n
185,185,-96.75,35.25,lat35.25lon-96.75,1.5-degree,geo,11-Oct-16,17-Oct-16,25-Oct-16,-0.2380855388,-0.0380775948,n
186,186,-95.25,35.25,lat35.25lon-95.25,1.5-degree,geo,11-Oct-16,13-Oct-16,25-Oct-16,-0.1016228581,-0.0599093689,n
187,187,-93.75,35.25,lat35.25lon-93.75,1.5-degree,geo,12-Oct-16,16-Oct-16,24-Oct-16,0.0352234501,-0.079190902,n
188,188,-90.75,35.25,lat35.25lon-90.75,1.5-degree,geo,12-Oct-16,17-Oct-16,24-Oct-16,0.3098762112,-0.1100772776,n
189,189,-89.25,35.25,lat35.25lon-89.25,1.5-degree,geo,12-Oct-16,16-Oct-16,24-Oct-16,0.4475870195,-0.1216713643,n
190,190,-87.75,35.25,lat35.25lon-87.75,1.5-degree,geo,12-Oct-16,16-Oct-16,21-Oct-16,0.5854901993,-0.1306937021,n
191,191,-86.25,35.25,lat35.25lon-86.25,1.5-degree,geo,13-Oct-16,16-Oct-16,22-Oct-16,0.7235377274,-0.1371411492,n
192,192,-83.25,35.25,lat35.25lon-83.25,1.5-degree,geo,12-Oct-16,17-Oct-16,21-Oct-16,0.9998735009,-0.1423032877,n
193,193,-81.75,35.25,lat35.25lon-81.75,1.5-degree,geo,13-Oct-16,15-Oct-16,22-Oct-16,1.1380655156,-0.1410161814,n
194,194,-80.25,35.25,lat35.25lon-80.25,1.5-degree,geo,13-Oct-16,15-Oct-16,20-Oct-16,1.2762094506,-0.1371505897,n
195,195,-78.75,35.25,lat35.25lon-78.75,1.5-degree,geo,13-Oct-16,15-Oct-16,21-Oct-16,1.4142571989,-0.1307078586,n
196,196,-99.75,36.75,lat36.75lon-99.75,1.5-degree,geo,23-Oct-16,25-Oct-16,30-Oct-16,-0.4760938985,0.174453987,n
197,197,-92.25,36.75,lat36.75lon-92.25,1.5-degree,geo,23-Oct-16,27-Oct-16,31-Oct-16,0.1908120414,0.0677600565,n
198,198,-84.75,36.75,lat36.75lon-84.75,1.5-degree,geo,24-Oct-16,27-Oct-16,1-Nov-16,0.8647578357,0.0236670438,n
199,199,-77.25,36.75,lat36.75lon-77.25,1.5-degree,geo,24-Oct-16,27-Oct-16,31-Oct-16,1.5398802233,0.0425585538,n
200,200,-99.75,38.25,lat38.25lon-99.75,1.5-degree,geo,25-Oct-16,27-Oct-16,2-Nov-16,-0.442397487,0.3362799873,n
201,201,-92.25,38.25,lat38.25lon-92.25,1.5-degree,geo,25-Oct-16,28-Oct-16,2-Nov-16,0.2092842608,0.2320216759,n
202,202,-84.75,38.25,lat38.25lon-84.75,1.5-degree,geo,25-Oct-16,28-Oct-16,2-Nov-16,0.8678451566,0.1889352227,n
203,203,-77.25,38.25,lat38.25lon-77.25,1.5-degree,geo,25-Oct-16,28-Oct-16,2-Nov-16,1.5275557864,0.2073954755,n
204,204,-99.75,39.75,lat39.75lon-99.75,1.5-degree,geo,8-Nov-16,9-Nov-16,16-Nov-16,-0.4085964467,0.4986084643,n
205,205,-92.25,39.75,lat39.75lon-92.25,1.5-degree,geo,8-Nov-16,11-Nov-16,17-Nov-16,0.2278138373,0.3967933348,n
206,206,-84.75,39.75,lat39.75lon-84.75,1.5-degree,geo,8-Nov-16,11-Nov-16,17-Nov-16,0.8709420638,0.3547165665,n
207,207,-77.25,39.75,lat39.75lon-77.25,1.5-degree,geo,8-Nov-16,11-Nov-16,16-Nov-16,1.5151930815,0.372744223,n
208,208,-99.75,41.25,lat41.25lon-99.75,1.5-degree,geo,8-Nov-16,12-Nov-16,20-Nov-16,-0.3747074516,0.6613593416,n
209,209,-92.25,41.25,lat41.25lon-92.25,1.5-degree,geo,8-Nov-16,14-Nov-16,21-Nov-16,0.2463916302,0.5619937514,n
210,210,-84.75,41.25,lat41.25lon-84.75,1.5-degree,geo,8-Nov-16,13-Nov-16,20-Nov-16,0.8740470296,0.5209292953,n
211,211,-77.25,41.25,lat41.25lon-77.25,1.5-degree,geo,8-Nov-16,12-Nov-16,21-Nov-16,1.5027982073,0.5385232299,n
212,212,-98.25,42.75,lat42.75lon-98.25,1.5-degree,geo,22-Nov-16,21-Dec-16,28-Dec-16,-0.220362817,0.8005490889,n
213,213,-96.75,42.75,lat42.75lon-96.75,1.5-degree,geo,22-Nov-16,20-Dec-16,25-Dec-16,-0.0995522786,0.7789020058,n
214,214,-95.25,42.75,lat42.75lon-95.25,1.5-degree,geo,22-Nov-16,20-Dec-16,25-Dec-16,0.0216411663,0.7595130572,n
215,215,-93.75,42.75,lat42.75lon-93.75,1.5-degree,geo,3-Dec-16,20-Dec-16,25-Dec-16,0.1431753134,0.7423889951,n
216,216,-90.75,42.75,lat42.75lon-90.75,1.5-degree,geo,3-Dec-16,20-Dec-16,25-Dec-16,0.3870963187,0.7149585926,y
217,217,-89.25,42.75,lat42.75lon-89.25,1.5-degree,geo,3-Dec-16,14-Dec-16,19-Dec-16,0.5093982343,0.7046618045,y
218,218,-87.75,42.75,lat42.75lon-87.75,1.5-degree,geo,ERROR,,,0.6318709964,0.6966490042,y
219,219,-86.25,42.75,lat42.75lon-86.25,1.5-degree,geo,3-Dec-16,11-Dec-16,19-Dec-16,0.7544719551,0.6909229821,y
220,220,-83.25,42.75,lat42.75lon-83.25,1.5-degree,geo,3-Dec-16,11-Dec-16,18-Dec-16,0.9998876553,0.6863384514,n
221,221,-78.75,42.75,lat42.75lon-78.75,1.5-degree,geo,3-Dec-16,11-Dec-16,18-Dec-16,1.3679046663,0.6966364317,n
222,222,-75.75,42.75,lat42.75lon-75.75,1.5-degree,geo,3-Dec-16,5-Dec-16,10-Dec-16,1.6126799692,0.7149376579,n
223,223,-74.25,42.75,lat42.75lon-74.25,1.5-degree,geo,3-Dec-16,5-Dec-16,13-Dec-16,1.7347688778,0.7275106771,n
224,224,-72.75,42.75,lat42.75lon-72.75,1.5-degree,geo,3-Dec-16,5-Dec-16,10-Dec-16,1.8566019116,0.7423597273,n
225,225,-71.25,42.75,lat42.75lon-71.25,1.5-degree,geo,3-Dec-16,5-Dec-16,10-Dec-16,1.9781366436,0.7594796375,n
226,226,-99.75,44.25,lat44.25lon-99.75,1.5-degree,geo,30-Dec-16,31-Dec-16,2-Mar-17,-0.3067384518,0.9877784142,n
227,227,-92.25,44.25,lat44.25lon-92.25,1.5-degree,geo,30-Dec-16,1-Jan-17,8-Jan-17,0.2836519267,0.8933257092,y
228,228,-84.75,44.25,lat44.25lon-84.75,1.5-degree,geo,30-Dec-16,1-Jan-17,17-Jan-17,0.8802744618,0.8542915833,y
229,229,-99.75,45.75,lat45.75lon-99.75,1.5-degree,geo,30-Dec-16,31-Dec-16,,-0.2726984156,1.1512546618,n
230,230,-92.25,45.75,lat45.75lon-92.25,1.5-degree,geo,30-Dec-16,3-Jan-17,*crolli,0.3023125196,1.0592624136,y
231,231,-77.25,45.75,lat45.75lon-77.25,1.5-degree,geo,30-Dec-16,2-Jan-17,21-Mar-17,1.4654884798,1.0375335028,n
232,232,-69.75,45.75,lat45.75lon-69.75,1.5-degree,geo,3-Jan-17,4-Mar-17,*crolli,2.04353399,1.1079858796,n
233,233,-99.75,47.25,lat47.25lon-99.75,1.5-degree,geo,30-Dec-16,3-Jan-17,*crolli,-0.2386507241,1.3147676735,n
234,234,-92.25,47.25,lat47.25lon-92.25,1.5-degree,geo,3-Jan-17,18-Jan-17,,0.3209773091,1.2252364353,y
235,235,-77.25,47.25,lat47.25lon-77.25,1.5-degree,,,,,1.4530355625,1.2040888243,n
236,236,-69.75,47.25,lat47.25lon-69.75,1.5-degree,,,,,2.0156169887,1.2726564335,n
237,237,-99.75,48.75,lat48.75lon-99.75,1.5-degree,,,,,-0.2046197671,1.4782003186,n
238,238,-92.25,48.75,lat48.75lon-92.25,1.5-degree,,,,,0.3396329249,1.391128881,n
239,239,-84.75,48.75,lat48.75lon-84.75,1.5-degree,,,,,0.8896307446,1.3551451846,n
240,240,-77.25,48.75,lat48.75lon-77.25,1.5-degree,,,,,1.4405887658,1.370562284,n
241,241,-69.75,48.75,lat48.75lon-69.75,1.5-degree,,,,,1.9877137087,1.4372460519,n
301,301,-91.25,43.75,lat43.75lon-91.25,priority,,,,,0.3574256052,0.8295490124,n
309,309,-75.25,43.75,lat43.75lon-75.25,priority,,,,,1.6423545975,0.829527064,n
314,314,-93.25,44.75,lat44.75lon-93.25,priority,,,,,0.2113667206,0.9579499911,n
317,317,-88.25,44.75,lat44.75lon-88.25,priority,,,,,0.604864861,0.9211201152,n
333,333,-88.25,46.75,lat46.75lon-88.25,priority,,,,,0.6187116461,1.1433719262,n
343,343,-69.25,46.75,lat46.75lon-69.25,priority,,,,,2.0625084585,1.2242616352,n
482,482,-72.25,43.75,lat43.75lon-72.25,priority,,,,,1.8819800647,0.8579766158,n
657,657,-95.75,46.25,lat46.25lon-95.75,priority,,,,,0.0415368361,1.1505159686,n
899,899,-92.75,38.75,lat38.75lon-92.75,priority,,,,,0.1720734419,0.2919079764,n
903,903,-88.75,38.75,lat38.75lon-88.75,priority,,,,,0.5198805851,0.2593545979,n
1118,1118,-88.25,42.25,lat42.25lon-88.25,priority,,,,,0.587575514,0.6436124735,n
1212,1212,-73.75,43.75,lat43.75lon-73.75,priority,,,,,1.7623000622,0.8426338696,n
1292,1292,-91.25,45.25,lat45.25lon-91.25,priority,,,,,0.3740166777,0.995667779,n
